X,Y,fid,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,fech_nc,cotizcn,mnt_pr_,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,clasi2,costo,atipics,Longitd,Latitud,icon_url
-72.2134478968681,7.75896587850863,"1",PI-2022-C-1-E-253-00036311,"2022",C1,ALCALDÍA DE SAN CRISTÓBAL (EDO. TÁCHIRA),Los Andes,Táchira,San Cristóbal,La Concordia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",251640,"i etapa de rehabiitación de la vialidad del sector via loma de pío-chorro del indio, municipio san cristóbal.","en esta primera etapa se colocaran 600 toneladas de mezcla asfaltica tipo iv en la ro14, vía chorro del indio, mediante la reparación de carpetas y bacheo. de igual manera se realizara la reparación de los sistemas de drenaje.",Culminado,"18","18","858726","808578",Rehabilitación o Mejora,2022/02/17,4.39,57321.1845102506,600,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2134478968681,7.75896587850863,./0.png
-72.2162786483555,7.82409274497043,"2",PI-2022-C-1-E-357-00036202,"2022",C1,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",580127.56,"rehabilitación de carpeta asfaltica desde la bomba el diamante hasta la panaderia el viajero, parroquia capital, municipio cardenas, estado tachira.","se preve la ejecucion de una serie de actividades enmarcadas dentro de la construccion de carpeta asfatica de 0.30 kilometros de vialidad, entre las cuales destacan: bacheo localizado con mezclas asfalticas en caliente, beneficiando una población de
122",Culminado,"18","18","866233","806614",Rehabilitación o Mejora,2022/02/09,4.48,129492.758928571,300,Metros,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2162786483555,7.82409274497043,./0.png
-72.2456002699171,8.02265894763331,"3",PI-2022-C-1-E-38-00036269,"2022",C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),33222,"mejoramiento de vialidad, la san juana (parte baja).tramo comprendido desde el cdi-colon hasta la escuela la san juana.","el proyecto consiste en: remoción de capa asfaltica. bacheo, y cancelación de transporte.",Culminado,"18","18","887473","804337",Rehabilitación o Mejora,2022/02/17,4.39,7567.65375854214,70,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2456002699171,8.02265894763331,./0.png
-72.2499474562803,8.02728707115662,"4",PI-2022-C-1-E-38-00036270,"2022",C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),83573.75,"mejoramiento de vialidad, las flores, carrera 2. tramo comprendido desde la calle 1 hasta la calle 5.","el proyecto consiste en: remoción de capa asfaltica. bacheo, y cancelación de transporte.",Culminado,"18","18","888617","803660",Rehabilitación o Mejora,2022/02/17,4.39,19037.3006833713,298,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2499474562803,8.02728707115662,./0.png
-72.2542997899193,8.02711736699051,"5",PI-2022-C-1-E-38-00036273,"2022",C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),83573.75,"mejoramiento de vialidad, barrio urdaneta, calle 3. tramo comprendido desde la carrera 0 hasta la carrera 4.","el proyecto consiste en: remoción de capa asfaltica. bacheo, y cancelación de transporte.",Culminado,"18","18","888136","803062",Rehabilitación o Mejora,2022/02/17,4.39,19037.3006833713,298,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,heterogeneo_asfC8,,no,-72.2542997899193,8.02711736699051,./0.png
-72.227592477272,7.81349650669394,"6",PI-2022-C-10-E-357-00038212,"2022",C10,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",1945191.92,"rehabilitación de la carpeta asfaltica  tramo 1 autopista  san cristobal la fría desde el puente libertador hasta la panadería viajero, sentido norte - sur ,parroquia capital municipio cardenas estado tachira","se prevee  la ejecución de una serie de actividades para la rehabilitación de carpeta asfaltica en caliente en una superficie de 5.100 metros cuadrados (m2),  de vialidad así como también la demarcación de la vía, beneficiando a una población de 122.053",Culminado,"18","18","866221","806516",Rehabilitación o Mejora,2022/09/14,8.01,242845.433208489,5100,m2,Si,asfalto (tn),"1900",carpeta,Elementos no asfalticos,,127.813385899205,no,-72.227592477272,7.81349650669394,./0.png
-72.32712567876,7.81715632521207,"7",PI-2022-C-11-E-160-00038267,"2022",C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),90000,"rehabilitación  de la capa asfaltica, carrera 2, parroquia capital, municipio capacho viejo, estado tachira 
","se realizaran los  trabajos de ""bacheo""  en la carrera 2 del  casco central de la parroquia capital, en una superficie total de 9000 m2, así como la demarcación de 1,5 km lineales por  10 cm de ancho.",Culminado,"18","18","865823","795745",Rehabilitación o Mejora,2022/09/26,8.08,11138.6138613861,9000,m2,Si,asfalto caliente en toneladas,"20",bacheo,Elementos no asfalticos,,556.930693069307,si,-72.32712567876,7.81715632521207,./0.png
-72.3265795963898,7.81896008452744,"8",PI-2022-C-11-E-160-00038272,"2022",C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),90000,"rehabilitación  de la capa asfaltica, carrera 3, parroquia capital, municipio capacho viejo, estado tachira 
","se realizaran los trabajos de ""bacheo"" en la carrera 3 del casco central de la parroquia capital, en una superficie de 6000 m2, así como la demarcación de 1 km lineal por 10 cm de ancho.",Culminado,"18","18","865855","795587",Rehabilitación o Mejora,2022/09/26,8.08,11138.6138613861,6000,Metros,Si,asfalto caliente en toneladas,"10",bacheo,Elementos no asfalticos,,1113.86138613861,si,-72.3265795963899,7.81896008452744,./0.png
-72.3161416176968,7.82459555413489,"9",PI-2022-C-11-E-160-00038274,"2022",C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),110000,"rehabilitación  de la capa asfaltica, avenida circunvalación, parroquia capital, municipio capacho viejo, estado tachira 
","se realizara trabajos de ""bacheo"" en la av. circunvalación del casco central, parroquia capital en una superficie total de 12.000 m2 así como la demarcación de 2 kilómetros lineales por 10 cm de ancho.",Culminado,"18","18","865629","795280",Rehabilitación o Mejora,2022/09/26,8.08,13613.8613861386,12000,m2,Si,asfalto caliente en toneladas,"20",bacheo,Elementos no asfalticos,,680.693069306931,si,-72.3161416176968,7.82459555413489,./0.png
-72.3143790781089,7.82391566921706,"10",PI-2022-C-11-E-160-00038277,"2022",C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",125000,"rehabilitación  de la capa asfaltica, vía intercomunal, parroquia capital, municipio capacho viejo, estado tachira","se realizara trabajos de ""bacheo"" en la vía intercomunal del casco central de la parroquia capital, en una superficie de 18.000 m2 así como la demarcación de 2.5 km lineales por 10 cm de ancho. colocación de 1500 ojos de gato.",Culminado,"18","18","866155","794679",Rehabilitación o Mejora,2022/09/26,8.08,15470.297029703,18000,m2,Si,asfalto caliente en toneladas,"10",bacheo,Elementos no asfalticos,,1547.0297029703,si,-72.3143790781089,7.82391566921706,./0.png
