fid,qc_id,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,fech_nc,cotizcn,mnt_pr_,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,longitd,latitud,nrmlzd_,ctgrs_m,icon_url
"1","0",PI-2022-C-1-E-253-00036311,2022,C1,ALCALDÍA DE SAN CRISTÓBAL (EDO. TÁCHIRA),Los Andes,Táchira,San Cristóbal,La Concordia,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",57321.1845102506,2022/02/17,4.39,57321.1845102506,"I ETAPA DE REHABIITACIÓN DE LA VIALIDAD DEL SECTOR VIA LOMA DE PÍO-CHORRO DEL INDIO, MUNICIPIO SAN CRISTÓBAL.","En esta primera etapa se colocaran 600 toneladas de mezcla asfáltica tipo IV en la RO14, vía chorro del indio, mediante la reparación de carpetas y bacheo. De igual manera se realizara la reparación de los sistemas de drenaje.",Culminado,"18","18","858726","808578",Rehabilitación o Mejora,600,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.2134478968681,7.75896587850863,-0.098936160732773,"1",./0.png
"2","1",PI-2022-C-1-E-357-00036202,2022,C1,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",129492.758928571,2022/02/09,4.48,129492.758928571,"REHABILITACIÓN DE CARPETA ASFALTICA DESDE LA BOMBA EL DIAMANTE HASTA LA PANADERIA EL VIAJERO, PARROQUIA CAPITAL, MUNICIPIO CARDENAS, ESTADO TACHIRA.","SE PREVE LA EJECUCION DE UNA SERIE DE ACTIVIDADES ENMARCADAS DENTRO DE LA CONSTRUCCION DE CARPETA ASFATICA DE 0.30 KILOMETROS DE VIALIDAD, ENTRE LAS CUALES DESTACAN: BACHEO LOCALIZADO CON MEZCLAS ASFALTICAS EN CALIENTE, BENEFICIANDO UNA POBLACIÓN DE
12",Culminado,"18","18","866233","806614",Rehabilitación o Mejora,300,Metros,,,,heterogeneo_asf,Elementos no asfalticos,-72.2162786483555,7.82409274497043,0.957282330296905,"2",./1.png
"3","2",PI-2022-C-1-E-38-00036269,2022,C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),7567.65375854214,2022/02/17,4.39,7567.65375854214,"Mejoramiento de vialidad, La San Juana (parte baja).Tramo comprendido desde el CDI-COLON hasta la Escuela La San Juana.","El proyecto consiste en: Remoción de capa asfáltica. Bacheo, y Cancelación de Transporte.",Culminado,"18","18","887473","804337",Rehabilitación o Mejora,70,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.2456002699171,8.02265894763331,-0.827070465651416,"1",./0.png
"4","3",PI-2022-C-1-E-38-00036270,2022,C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),19037.3006833713,2022/02/17,4.39,19037.3006833713,"Mejoramiento de vialidad, Las Flores, Carrera 2. Tramo comprendido desde la Calle 1 hasta la Calle 5.","El proyecto consiste en: Remoción de capa asfáltica. Bacheo, y Cancelación de Transporte.",Culminado,"18","18","888617","803660",Rehabilitación o Mejora,298,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.2499474562803,8.02728707115662,-0.659214169523408,"1",./0.png
"5","4",PI-2022-C-1-E-38-00036273,2022,C1,ALCALDÍA DE AYACUCHO (EDO. TÁCHIRA),Los Andes,Táchira,Ayacucho,Ayacucho,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),19037.3006833713,2022/02/17,4.39,19037.3006833713,"Mejoramiento de vialidad, Barrio Urdaneta, Calle 3. Tramo comprendido desde la Carrera 0 hasta la Carrera 4.","El proyecto consiste en: Remoción de capa asfáltica. Bacheo, y Cancelación de Transporte.",Culminado,"18","18","888136","803062",Rehabilitación o Mejora,298,Toneladas,,,,heterogeneo_asf,Elementos no asfalticos,-72.2542997899193,8.02711736699051,-0.659214169523408,"1",./0.png
"6","5",PI-2022-C-10-E-357-00038212,2022,C10,GOBERNACIÓN DE TÁCHIRA,Los Andes,Táchira,Cárdenas,Cárdenas,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",242845.433208489,2022/09/14,8.01,242845.433208489,"REHABILITACIÓN DE LA CARPETA ASFÁLTICA  TRAMO 1 AUTOPISTA  SAN CRISTOBAL LA FRÍA DESDE EL PUENTE LIBERTADOR HASTA LA PANADERÍA VIAJERO, SENTIDO NORTE - SUR ,PARROQUIA CAPITAL MUNICIPIO CÁRDENAS ESTADO TÁCHIRA","SE PREVEE  LA EJECUCIÓN DE UNA SERIE DE ACTIVIDADES PARA LA REHABILITACIÓN DE CARPETA ASFÁLTICA EN CALIENTE EN UNA SUPERFICIE DE 5.100 METROS CUADRADOS (M2),  DE VIALIDAD ASÍ COMO TAMBIÉN LA DEMARCACIÓN DE LA VÍA, BENEFICIANDO A UNA POBLACIÓN DE",Culminado,"18","18","866221","806516",Rehabilitación o Mejora,5100,m2,Si,Asfalto (Tn),"1900",carpeta,Elementos no asfalticos,-72.227592477272,7.81349650669394,2.6161790849688,"3",./2.png
"7","6",PI-2022-C-11-E-160-00038267,2022,C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),11138.6138613861,2022/09/26,8.08,11138.6138613861,"Rehabilitación  de la capa asfáltica, Carrera 2, Parroquia Capital, Municipio Capacho Viejo, Estado Táchira 
","Se realizaran los  trabajos de ""Bacheo""  en la carrera 2 del  casco central de la parroquia capital, en una superficie total de 9000 m2, así como la demarcación de 1,5 km lineales por  10 cm de ancho.",Culminado,"18","18","865823","795745",Rehabilitación o Mejora,9000,m2,Si,Asfalto Caliente En Toneladas,"20",bacheo,Elementos no asfalticos,-72.32712567876,7.81715632521207,-0.774810083059629,"1",./0.png
"8","7",PI-2022-C-11-E-160-00038272,2022,C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),11138.6138613861,2022/09/26,8.08,11138.6138613861,"Rehabilitación  de la capa asfáltica, Carrera 3, Parroquia Capital, Municipio Capacho Viejo, Estado Táchira 
","Se realizaran los trabajos de ""Bacheo"" en la carrera 3 del casco central de la parroquia capital, en una superficie de 6000 m2, así como la demarcación de 1 km lineal por 10 cm de ancho.",Culminado,"18","18","865855","795587",Rehabilitación o Mejora,6000,Metros,Si,Asfalto Caliente En Toneladas,"10",bacheo,Elementos no asfalticos,-72.3265795963899,7.81896008452744,-0.774810083059629,"1",./0.png
"9","8",PI-2022-C-11-E-160-00038274,2022,C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),13613.8613861386,2022/09/26,8.08,13613.8613861386,"Rehabilitación  de la capa asfáltica, Avenida Circunvalación, Parroquia Capital, Municipio Capacho Viejo, Estado Táchira 
","se realizara trabajos de ""bacheo"" en la av. circunvalación del casco central, parroquia capital en una superficie total de 12.000 m2 así como la demarcación de 2 kilómetros lineales por 10 cm de ancho.",Culminado,"18","18","865629","795280",Rehabilitación o Mejora,12000,m2,Si,Asfalto Caliente En Toneladas,"20",bacheo,Elementos no asfalticos,-72.3161416176968,7.82459555413489,-0.738585264263722,"1",./0.png
"10","9",PI-2022-C-11-E-160-00038277,2022,C11,ALCALDÍA DE LIBERTAD (EDO. TÁCHIRA),Los Andes,Táchira,Capacho Viejo,Libertad,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",15470.297029703,2022/09/26,8.08,15470.297029703,"Rehabilitación  de la capa asfáltica, Vía Intercomunal, Parroquia Capital, Municipio Capacho Viejo, Estado Táchira","se realizara trabajos de ""bacheo"" en la vía intercomunal del casco central de la parroquia capital, en una superficie de 18.000 m2 así como la demarcación de 2.5 km lineales por 10 cm de ancho. colocación de 1500 ojos de gato.",Culminado,"18","18","866155","794679",Rehabilitación o Mejora,18000,m2,Si,Asfalto Caliente En Toneladas,"10",bacheo,Elementos no asfalticos,-72.3143790781089,7.82391566921706,-0.711416650166791,"1",./0.png
